경력,주요 업무,자격 요건,우대사항,기술
신입,"• 생성형 AI 모델을 사용하여 이미지/영상 합성 데이터 생성 (synthetic data generation)
• 로봇과 설비의 물리세계를 모사하는 시뮬레이션 모델 설계 (공간관계, 물리적 규칙)
• 로봇, 설비가 물리 세계를 인지, 이해, 추론하여 자율적으로 행동할 수 있도록 가상 시뮬레이션 환경에서 강화 학습을 이용하여 최적의 action policy 훈련
• Digital Twin & Simulation 엔지니어, Robotics 엔지니어와 협업","• 강화학습 이론에 대한 깊은 이해와 강화학습 Framework 경험이 있으신 분 (예: Stable Baselines3, RLlib, Acme 등)
• 생성형 AI 모델 (VAE, Diffusion models, NVIDIA Cosmos) 개발 경험이 있으신 분
• Computer Vision: CNNs, Vision Transformers(ViTs), image tokenizer 경험이 있으신 분
• 시뮬레이션 환경(NVIDIA Omniverse, Isaac Sim, Unity) 개발 경험이 있으신 분
• Python, PyTorch 경험이 있으신 분","• 강화학습/시뮬레이션 전공 박사 학위를 보유하신 분
• 로봇, 설비 자율운전을 위한 강화학습/시뮬레이션 경험이 있으신 분
• AI, Robotics 관련 Top SCI급 저널 기고, 특허 보유하신 분",Python
신입,"• Audio LLM 모델 학습용 데이터 수집 및 전처리
• 실시간 대화를 위한 음성 모델 학습
• Audio LLM 모델 성능 평가 및 개선
• 논문, 오픈소스를 활용해 최신 연구 결과 수집/정리","• AI 관련 학부/대학원 전공하고 계시거나 이수하신 분
• 딥러닝에 대한 기본적인 지식을 갖고 계신 분
• Python, PyTorch 등의 AI 개발 도구 활용 능력이 있는 분","• 딥러닝 기반 음성 모델링 경험이 있는 분
• 대량의 데이터셋을 수집하고 정제한 경험이 있으신 분
• AI 주제의 논문을 작성해보시거나 오픈소스 활동 경력이 있으신 분",
신입,"헤이딜러 AI팀은 AI 기술을 활용해 중고차 거래를 더 쉽고 편리하게 만드는 것을 목표로 합니다. 고객이 체감할 수 있는 차량 가격 예측 및 추천 시스템부터, 이미지 및 텍스트 분석을 통한 서비스 운영 효율화에 이르기까지 다양한 AI 프로젝트를 수행하고 있습니다. 단순히 최신 기술을 연구하고 적용하는 것이 아니라, 비즈니스 문제를 정의하고 해결하는 것을 핵심 가치로 삼고 있습니다.

머신러닝 엔지니어로서 우리가 개발하는 기술이 서비스에 적용되고 성과를 낼 수 있도록 문제 정의부터 데이터 분석, 모델링, 배포, 운영까지 전 과정을 모두 담당합니다.

• 문제 정의
비즈니스 문제나 필요한 기획이 있을 때 이 문제를 어떻게 기술적인 문제로 치환하여 해결할지 고민하고, 제약조건 등을 파악하여 어떠한 기술로 접근해 볼지 계획합니다.
• 데이터 가공 및 분석
문제 해결을 위해 필요한 공개 데이터와 사내 데이터를 수집, 정제 및 가공합니다.
• 모델 개발
이미지 및 텍스트 도메인의 분류 및 탐지 문제부터 가격 예측과 추천에 이르기까지 다양한 문제에 대해 ML 모델을 설계하고 실험을 통해 개선합니다.
• 모델 배포 및 운영
모델을 실제 프로덕션 환경에 배포할 수 있도록 관련된 서버 코드를 작성하고, 확장성 있고 지속 가능하게 운영될 수 있도록 시스템을 구축합니다.
• 성능 모니터링 및 개선
실제 서비스에서 모델과 로직이 안정적으로 동작하는지 확인할 수 있도록 대시보드나 알람 시스템을 만들고, 성능 개선을 위한 피드백 루프를 구축합니다.

위와 같은 관점으로 다음과 같은 문제를 함께 풀어갈 분을 찾고 있습니다.

• 비전 기술을 통한 차량 결함 탐지 및 상태 분류
• LLM 활용한 채팅 고객 응대 효율화 및 고도화
• 다양한 데이터를 활용한 가격 예측 모델 개선
• 데이터 분석을 통한 이상 거래 탐지

[코어 기술 스택]
머신러닝: PyTorch, PyTorch Lightning, CatBoost, OpenAI
서버: Redis, Kafka, FastAPI(Asyncio, Pydantic)
배포: AWS, Docker, Kubernetes, Helm, Github Actions
코드 품질: Flake8, Mypy, Pycharm
데이터 처리: BigQuery, Airflow, Polars, Pandas, OpenCV
모니터링: LookerStudio, Grafana, Sentry","• ML 이론 전반에 대한 이해와 함께, 하나 이상의 도메인에서 깊이 있는 지식과 프로젝트 경험을 갖추신 분을 찾습니다.
• ML 관련 논문을 보고, 해당 내용을 정확하게 구현하실 수 있는 분을 찾습니다.
• AI 기술을 서비스화하고 머신러닝 라이프사이클 전반의 모든 과정을 경험하는 데에 관심이 있고, 이에 필요한 CS 지식과 엔지니링 역량을 갖추신 분을 찾습니다.
• 문제 해결에 필요한 새로운 기술이나 도메인 지식을 빠르게 습득하실 수 있는 분을 찾습니다.
• 스스로 학습하여 기술적 역량을 높이는 것에 대한 열정이 있고, 더 나은 해결책을 찾기 위해 끊임없이 고민하고 팀원들과 함께 논의할 수 있는 분을 찾습니다.","• ML 관련 탑티어 학회 및 저널에 논문을 게재한 실적 및 관련 대회 수상 실적이 있으신 분이면 좋습니다.
• 백앤드 및 인프라를 포함한 소프트웨어 엔지니어링 전반에 대한 깊은 지식과 경험이 있으신 분이면 좋습니다.
• 다른 직군의 다양한 이해관계자와 원활히 협업할 수 있는 커뮤니케이션 역량을 갖추신 분이면 좋습니다.",
신입,"클럼엘의 신입 데이터 소프트웨어 엔지니어는 시니어가 디자인한 모듈의 일부를 구현하게 됩니다. GitHub의 issue로 구현할 작업이 기술되어 있고, 이 issue가 여러분에게 할당됩니다. 시니어나 혹은 동료들과 소통을 통해서 궁금한 사항을 확인하고 나면 코드를 만듭니다. 코드 작성 완료 후 시니어나 동료들이 코드를 리뷰하고 의견을 줍니다. 이 과정을 반복하는 과정에서 해당 모듈 책임자가 적절한 시점에 코드를 승인합니다. 작성된 코드가 원하는 데이터 분석 결과를 내는지 검증 과정이 매우 중요합니다. 회사가 사용하는 데이터를 기본으로 하고, 필요 시 추가 데이터를 확보합니다. 이 과정은 지원 부서의 도움을 받게 됩니다. 데이터를 작성 코드로 분석한 결과가 적절한지 다양한 데이터 분석 기법을 활용하여 판단합니다. 결과에 따라 추가적인 코드 수정 의견을 제시한다면 더욱 좋습니다.


데이터 소프트웨어 엔지니어의 업무 목록입니다.

[머신러닝 알고리즘 구현]
• 클럼엘이 자체 개발한 하기 알고리즘의 고도화
- 패턴 인식 클러스터링
- 계층 클러스터링
- 시계열 클러스터링
- DBSCAN
- OPTICS

• 새로운 알고리즘 구현


[비지도학습 기반 위협 탐지 모델 개발]
• 네트워크 데이터 기반 (NDR)
- 클럼엘이 구현한 알고리즘을 바탕으로 비정상 행위 탐지 모델링

• 단말 데이터 기반 (EDR)
- 단말 데이터를 활용하여 비정상 행위 탐지 모델링

• 네트워크와 단말 데이터 동시 기반 (XDR)
- 네트워크 및 단말 데이터를 동시에 활용하여 비정상이나 위협 탐지 모델링


[준지도학습 기반 위협 탐지 모델 개발]
• 딥러닝 등 지도학습 활용하여 위협 유형별 탐지 모델링

• 지도학습과 비지도학습을 동시 또는 순차적으로 활용하여 위협 유형별 탐지 모델링


[위협 탐지 외의 도메인에서 데이터 분석 모델링]
• 정보유출 모델링

• 네트워크 및 시스템 장애 또는 비정상 예측 모델링","• 이공계 학사 졸업 또는 졸업 예정이신 분
• C++, C#, Java, Rust 중 1개 이상 코딩 경험이 있으신 분
• Git 버전 관리 시스템 사용 경험이 있으신 분","• Rust 개발 경험이 있으신 분
• 보안 솔루션 기업 혹은 네트워크 보안 기업 경력을 보유하신 분
• 머신러닝 데이터 분석 경험이 있으신 분
• 클라우드 환경에서 업무 경험이 있으신 분
• 컴퓨터 공학 및 유관학과 학사 이상의 학위를 소지하신 분",
"신입, 경력","• LLM 모델 커스터마이징을 위한 대규모 데이터 관리(전처리, 후처리)
• LLM 모델 학습 과정 및 결과에 대한 정량적 분석
• LLM 모델 서비스를 위한 프롬프트 엔지니어링 및 RAG 연구"," 최신 NLP (특히 LLM) 모델을 사용하거나 공부한 경험이 있으신 분
• NLP Production 개발 경험이 있으신 분
• LLM Model을 serving하거나 finetuning 해보신 분
• 적절한 답변 유도를 위해 Prompt engineering을 수행해보신 분
• 최신 논문 읽기 및 이해 능력 가능하신 분.
• 독립적인 연구 및 실험 설계 가능하신 분.
• 강력한 문제 해결 능력과 비판적 사고 능력있으신 분.","• 자연어 처리(NLP) 및 머신러닝(ML) 분야에서의 최소 3-5년 이상의 실무 경험.
• 관련 분야의 석사 또는 박사 학위 소지자.
• 대규모 언어 모델(예: GPT, BERT 등) 연구 및 개발 경험.
• 적극적이고 진취적인 태도
• 최신 기술 동향에 대한 지속적인 학습 및 적용 의지",
"신입, 경력","• AI 솔루션 개발 및 테스트
• 보유한 AI 도구를 활용해 사내 요구사항에 맞는 솔루션을 개발하고, 초기 파일럿 프로젝트를 통해 기능을 테스트합니다
• 시스템 통합 및 자동화 지원
• 개발한 AI 솔루션을 기존 IT 인프라(웹, 서버, 데이터 파이프라인 등)에 통합해 업무 자동화를 구현합니다
• 팀 협업 및 문제 해결
• 각 부서와 긴밀히 협업하여 솔루션 개선을 위한 피드백을 반영하고, 문제 발생 시 신속히 해결합니다","• 컴퓨터 공학, 데이터 사이언스 등 관련 전공 학위를 보유하신 분
• Python, JavaScript 등 프로그래밍 언어에 능숙하신 분
• 머신러닝/딥러닝 프레임워크(TensorFlow, PyTorch 등) 활용 경험이 있으신 분
• AI 솔루션 개발 및 시스템 통합 경험이 있으신 분","• LLM(예: GPT, Claude 등) 및 RAG 기술을 적용한 경험이 있으신 분
• 클라우드 환경(AWS, Azure)에서 AI 솔루션을 운영한 경험이 있으신 분
• 오픈소스 프로젝트에 참여한 경험이 있으신 분","PyTorch
Tensorflow
JavaScript
Python"
"신입, 경력","• 컴퓨터 비전 기반 무인매장(아마존 ""Grab and Go""와 유사)용, 컴퓨터 비전 딥러닝 모델
(Object Detection, Pose Estimation 등) 개발, 최적화, 상용화
• 사업 도메인에 특화된 문제를 해결하기 위한 특화된 모델 개발
• 딥러닝 모델 설계를 통한 성능/정확도 개선 및 튜닝을 통한 추론 효율성 증대
• 딥러닝 모델 경량화"," 뛰어난 프로그래밍 스킬
• Python, PyTorch/TensorFlow
• 컴퓨터 비전 딥러닝 모델 개발 경험(classification, object detection & segmentation, pose estimation)
• 최신(state-of-the-art) 딥러닝 연구 topics and methods 익숙/관심
• 논리적인 사고","• 관련 경험 2년 이상
• 관련 전공 석사 이상
• 뛰어난 커뮤니케이션",
"신입, 경력","• 유전체 데이터 기반 인공지능 개발 및 희귀질환 분야 문제 해결
• 약물-단백질 결합구조에 기반한 Small molecule 신약발굴 인공지능 개발
• 임상데이터에 기반한 희귀질환 Target 발굴 시스템 개발","• Bioinformatics, Cheminformatics, AI engineering, Computer Science 등 관련 학과
• 학사 학위 이상인 분
• 인공지능 프레임워크 (TF, torch 등) 를 이해하고 직접 구성한 네트워크를 학습시킨 경험 보유자","• 다양한 상황에서 최적의 솔루션을 찾을 수 있는 문제해결능력과, 적극적이고 원활한 커뮤니케이션 역량을 보유자
• AI 기반 신약개발 인공지능 경험 보유자
• GNN, Diffusion 모델과 관련한 프로젝트 경험 보유자
• MLOps 운영 경험 보유자 (MLflow, Docker, AWS cloud)
• 생물학 / 유전학 데이터를 이용한 ML 프로젝트 경험 보유자",
"신입, 경력","• 영상, 빅데이터기반 AI모델 개발/튜닝
• 제품 서비스를 위한 AI 파이프라인 구축 및 자동화","• AI 연구분야 석사학위 이상
• PyTorch, Tensorflow 등의 Framework 사용 경험
• 정형/비정형 데이터 활용한 ML 모델 및 알고리즘 개발 경험
• Python 중급 이상","• 머신비전 개발 경험 (OpenCV, Halcon, 비전카메라 등)
• 클라우드, 온프로미스 기반 ML 파이프라인 구축 경험 (MLflow, Kubeflow 등)
• 임베디드/에지 디바이스 ML 모델 개발 경험
• Data structure, Algorithm, OS 등 CS 지식
• Docker 컨테이너 기반 CI/CD 경험","PyTorch
Tensorflow
Python
Docker
Embedded Linux
OpenCV
Kubeflow"
"신입, 경력","1.딥러닝 모델 연구 개발
- 얼굴 및 몸 영상 생성 및 합성 (2D 또는 3D)
- 음성 합성 (TTS) 및 음성 변환 (VST)
- 딥페이크 탐지 (영상 및 음성)
- 자연어 처리 (LLM, G2P 등)
2.영상, 음성, 텍스트 처리 및 분석 기술 개발
3.딥러닝 모델 최적화 및 서버 개발 (MLOps)","관련 분야 전공자 및 경력자
관련 알고리듬 및 라이브러리 전문가
석사 이상 학위 소지자 (전문연구요원)","관련 분야 성과 (논문, 특허, 서비스 출시 등)",
