경력,주요 업무,자격 요건,우대사항,기술
신입,"• 신입도 좋습니다. 디자인을 공부하고 경험하신 분이라면 환영합니다. (신입~1년차)
* 기존브랜드를 가지고 본인 스타일로 리디자인 해보신 분
• 짧은 피드백 사이클에서 빠르게 개선하는 디자인 업무를 경험하신 분
• 고객 경험에 관심이 많으신 분
• 디자인을 하면서 얻게 되는 새로운 인사이트를 적극적으로 공유하시는 분","• 다양한 디자인 경험이 있으신 분
* 하나의 프로젝트 또는 인생에서 몰입을 해본 경험이 있으신 분
• 원활한 협업을 해보신 분","• 패키지, 브랜딩, 콘텐츠 등 다양한 디자인 경험이 있는 분
• 스타트업에서 빠르게 실행하고 개선하는 문화 속에서 일해본 경험이 있는 분
• 하나의 프로젝트에 깊이 몰입하여 끝까지 완성해 본 경험이 있는 분
• 다양한 팀과 협업하며 디자인을 발전시킨 경험이 있는 분","Adobe Photoshop
Adobe Illustrator
Figma"
신입,"• 강의/모임 콘텐츠의 썸네일/상세페이지 디자인
• 배너/팝업 소재 디자인
• 메타 광고 소재 디자인
• SNS 업로드 콘텐츠 디자인
• 기타 플랫폼 관련 필요한 콘텐츠 디자인 업무
• 플랫폼 내 디자인 소재 관리 및 운영","• Figma, Adobe Photoshop, Adobe Illustrator 활용 디자인 능력
• 긍정적인 사고방식과 뛰어난 문제해결 능력
• 수평적이고 적극적인 소통 능력","• 중장년(부모님/이모/삼촌 뻘)과 편안하고 공감이 있는 소통이 가능하신 분
• 여러 직무 및 분야와의 협업에 흥미가 있는 분
• 스타트업 환경에서 성장하고 도전하는 것을 즐기시는 분
• 디자인 센스가 있고 의견 제안을 꺼리지 않는 분","Adobe Photoshop
Adobe Illustrator
Figma"
신입,"• 자사 웹페이지 디자인 전반
- 홈페이지 리뉴얼, 상세 페이지와 배너 제작 등
• 콘텐츠 디자인 지원
- 광고 소재 제작, 차량 사진 수정, 각종 문서 디자인 등
• 타운카 브랜드 VX 관리/개선
- 브랜드 가이드 관리 및 확장 적용","• Adobe, Figma 등 디자인 툴 사용에 능숙하신 분
• 영상 콘텐츠 기획/제작 경험이 있으신 분","• 디자인 관련 학과를 졸업하신 분
• Webflow 등 노코드 툴을 통한 웹 제작(HTML, CSS, 간단한 JavaScript 포함)이 가능하신 분","Adobe
Figma"
"신입, 경력","[우리 팀에서는 이런 경험을 할 수 있습니다]

콘텐츠 디자이너 팀원은 아너드 팀의 ‘상품(Product) 팀’에서 함께 팀원으로 일하게 됩니다.
아너드 팀은 상품을 잘만들고 잘파는데 집중하는 '상품 팀'과 오프라인 여행서비스를 안정적으로 운영하는 '서비스 팀'을 큰 축으로 운영하고 있습니다.

'아너드 상품팀의 콘텐츠 디자이너' 역시 아너드의 여행 상품을 잘 만들고 잘 파는데 필요한 업무들을 하게 됩니다. 지원자님이 갖고 계신 '디자인'이란 위대한 '시각화 툴'을 활용하여 중산층 이상의 5060 여성을 주 타겟으로 여행 상품을 매력적이게 어필 할 수 있는 업무, 잘 파는데 필요한 마케팅 콘텐츠를 생산하는데 필요한 업무들을 하게 될 겁니다.

따라서 아너드 고객들의 성향과 스타일을 보다 심도 깊게 탐구하고 자기 주도적으로 창의적인 생각들을 실행에 옮기는 것이 가장 중요하다고 할 수 있습니다.

아너드 팀은 디자인이라는 툴이 가진 위대한 힘을 믿습니다. 고객이 경험해보지 못한 여행지를 더욱 매력적으로 소개하고, 고객으로 하여금 더 많은 여가 생활 참여를 도모하여 액티브시니어 유저의 데일리 라이프스타일을 변화시킬 수 있다고 믿고 있습니다.

[주요 업무 리스트업]

- 프로덕트(아너드 여행 상품) 상세페이지 디자인 가이드 기획 및 제작
- 자사 마케팅 전략에 따른 프로모션 디자인
- 브랜드 및 고객 경험을 극대화하는 디자인 설계","ㆍ디자인 관련 툴 활용도 (Adobe Photoshop, Illustrator, Figma 등)
ㆍ기획에 맞는 컨셉 도출, 완성도 높은 그래픽 표현 능력을 보유하신 분
ㆍ본인의 디자인을 논리적으로 표현하고 설득할 수 있는 분
ㆍ업무를 주도적으로 진행하고 마감할 수 있는 책임감 있고 꼼꼼하신 분","ㆍ5060 중산층 여성의 라이프스타일 트렌드에 관심이 많은 분
ㆍ여행지 관련 사진 셀렉 센스가 있으신 분
ㆍ여행지를 어필할 수 있는 글 재주가 있으신 분
ㆍ작업 속도가 빠르신 분
ㆍ시니어 산업에 관심이 많은 분
ㆍ국내여행에 관심이 많은 분
ㆍself-motivation이 가능하신 분
ㆍ영상 프로그램 사용 가능한 분 (Adobe AfterEffect)
ㆍ자기 주도적으로 문제 해결이 가능한 분","Adobe Photoshop
Adobe Illustrator
Figma"
경력,"• 자사 서비스에 대한 콘텐츠를 기획/제작합니다.
• 주요 인플루언서들과의 마케팅 협업을 진행하고 진척도를 관리합니다.
• 콘텐츠 디자인 가이드 및 비주얼 에셋을 제작하고 고도화합니다.
• 정량적인 목표를 설정하고 이행합니다.","• 3년 이상 콘텐츠 디자인 업무 경험이 있는 분을 찾습니다.
• 마케팅 캠페인, 프로모션 디자인 경험이 있는 분을 찾습니다.
• 긍정적인 사고로 문제 인식과 해결 의지를 갖추고 행동으로 옮기시는 분을 찾습니다.
• 원활한 커뮤니케이션 능력 및 추진력 있게 문제를 해결하시는 분을 찾습니다.
• 피그마, 포토샵, 일러스트 등 다양한 그래픽 툴 이용에 능숙하신 분을 찾습니다.","• 골프 또는 하이엔드 서비스 경험이 있는 분이라면 더욱 좋습니다.
• 주도적으로 과업을 설정하고 해낼 때 성취감을 느끼는 분이라면 더욱 좋습니다.
• 시각디자인학과 또는 관련 전공하신 분이라면 더욱 좋습니다.
• 최근 디자인 및 브랜딩 트렌드에 관심이 많으신 분이라면 더욱 좋습니다.
• 온라인 광고 콘텐츠 제작 경험 또는 오프라인 홍보물 제작 경험이 있으신 분이라면 더욱 좋습니다.","웹 디자인
브랜딩
Adobe Photoshop
Adobe Illustrator
Figma"
경력,"• 브랜드 가치와 포지셔닝에 부합하는 통일성 있고 차별화된 비주얼 아이덴티티 개발
• 로고, 컬러, 타이포 그래피, 이미지 등 브랜드 디자인 요소 제작 및 관리
• 사진 및 일러스트레이션 등 브랜드 관련 이미지 에셋 제작 및 관리
• 브랜드 디자인 가이드라인 및 규정 구축과 운영
• 마케팅, 제품 개발 등 관련 부서와 브랜드 전략에 대해 소통하고 협업
• 브랜드 아이덴티티에 맞는 각종 에셋 제작
• 플코(plco) 콘텐츠 기획, 제작, 배포
• 플코(plco) 온/오프라인 콘텐츠 디자인 작업 수행 (시각 인쇄물, 온라인 카드 뉴스, 포스터 등)
• 마케팅 자료 디자인 (프로모션 페이지, 상세페이지 등)
• 기타 콘텐츠 작업물 디자인 (제안서, 서비스 소개서 등)
• 영상 콘텐츠 제작","브랜드, 콘텐츠 디자인 분야 경력 3년 이상, 이에 준하는 역량을 보유하신 분
• 우수한 디자인 감각과 크리에이티브 역량을 보유하신 분
• 그래픽 툴(Photoshop, Illustrator, Adobe Premiere, Final Cut Pro 등)을 원활하게 다루실 수 있는 분
• 시각 콘텐츠 기획 - 제작 - 배포 Full Process를 경험하신 분
• 브랜드 전략과 마케팅에 대한 이해도가 있으신 분
• 우수한 커뮤니케이션 능력과 협업 마인드가 있으신 분
• 디자인 트렌드에 대한 관심과 리서치 능력이 있으신 분","• 스포츠 관련 업계에서 디자인을 경험해보신 분
• 스포츠를 하는 것 또는 보는 것을 좋아하시는 분
• 모션 그래픽 또는 영상 편집 가능한 분
• 먼저 의견을 제시하고 주도적으로 일하기를 즐기는 분",
경력,"* 직무 소개
미리캔버스를 글로벌 고객에게 효과적으로 알리고, 고객의 유입을 이끌어 낼 수 있는 콘텐츠를 제작해주세요. 기획자, 마케터와 협업하여 다양한 채널에서 고객 유입을 만들어 낼 퍼포먼스 마케팅 소재 및 브랜드 SNS 콘텐츠를 디자인하는 포지션입니다.

미리캔버스 글로벌 마케팅 전략에 필요한 모든 마케팅 콘텐츠를 디자인합니다. 또한 여러 채널에서 일관된 디자인 품질을 유지해 신뢰할 수 있는 브랜드 경험을 제공하는데 기여합니다.

고객이 서비스에 흥미를 느끼고 쉽게 접근할 수 있도록, SNS 및 광고 채널별 특성에 맞춰 다양한 형태의 콘텐츠를 제작할 수 있는 분을 환영합니다! 글로벌 서비스를 담당하여 프로모션 디자인을 해보신 분, 영어로 커뮤니케이션이 가능한 분들 또한 환영합니다. 미리캔버스의 브랜드 가치를 글로벌 시장 고객들에게 알리고, 전세계 사용자 경험을 이끌어 낼 놀라운 기회를 놓치지 마세요!


* 주요 업무
:글로벌 마케팅 전략에 따라 다양한 채널의 마케팅·프로모션 콘텐츠를 디자인합니다.

• Paid 채널(구글, 메타, 링크드인 등)의 퍼포먼스 광고 소재 제작
• Owned 채널의 브랜딩 및 마케팅 콘텐츠 디자인
• 프로모션의 소구점을 창의적으로 시각화합니다.
• 기획자, 마케터와 협업하여 프로젝트 일정에 맞춰 작업을 계획하고 수행합니다.
• 다양한 채널에서의 프로모션 콘텐츠 품질과 창의성을 균일하게 유지하고, 효율적으로 관리합니다.","• 1년 이상 근무 가능한 분
• 마케팅 목적의 광고 소재 및 소셜미디어 콘텐츠 제작 경력 2년 이상
• 높은 디자인 편집툴(Figma, Adobe Ps, Ai 등) 활용 역량을 보유하신 분
• 다양한 비주얼 컨셉 도출 및 뛰어난 시각화 역량을 지니신 분
• 논리적이고 설득력 있는 커뮤니케이션 능력을 갖춘 분
• 트렌드에 민감하고 소비자 니즈를 분석할 수 있는 능력을 보유하신 분","• 영어로 커뮤니케이션 가능하신 분
• 글로벌 시장 고객 및 현지 문화 특성을 반영한 디자인 제작 경험이 있으신 분
• SNS 영상 컨텐츠와 같이 마케팅 목적의 영상 제작 경험이 있으신 분 (숏폼 영상, 롱비디오 등)
• 미리캔버스, 캔바와 같은 오쏘라이징 툴 서비스에 대한 이해도가 높은 분
• 하나 이상의 서비스 또는 브랜드를 위한 캠페인 디자인의 성공 사례를 보유하신 분
• 다양한 형태의 콘텐츠를 빠르고 효율적으로 제작할 수 있는 구조적인 사고방식을 지니신 분",
경력,"• 브랜드 가이드 (브랜드 시각화 규격) 제작
• 온/오프라인 미디어에 전반적으로 필요한 콘텐츠 제작
(상세페이지, 배너, 패키지 등)
• 회사 운영에 필요한 전반적인 콘텐츠 제작","• 브랜디드 유형 / 커머스 유형의 디자인이 모두 가능하신 분
• 유관부서와의 상호 커뮤니케이션에 능하신 분
• 함께 브랜드를 성장시길 Mind-set 좋으신 분
• 성장과 성공에 갈증이 있으신 분
• 성과에 욕심이 있으신 분
• 일러스트 및 포토샵 가능자 (필수)
• 근무형태 : 정규직 교육기간 2주 / 수습기간 3개월","• 사진촬영 및 보정 가능하신 분
• 영상촬영 및 편집 가능하신 분
• 인하우스 브랜드 디자인 경험하신 분
• 디자인 전문회사 경력 보유하신 분
• 노션/슬랙/ERP 협업 툴 경험하신 분
• 피그마 사용 가능자
• 일러스트, 포토샵 외 프로그램을 다룰줄 아시는 분
(프리미어, 3D Rhino, Keyshot 등 사용 가능자)",
경력,"• 룩핀 서비스의 콘텐츠, 마케팅, 브랜딩 디자인을 완성도 있게 만듭니다.
• 디자인 결과물의 성과 데이터를 확인하고 목표 달성을 위해 디자인을 개선하며 비즈니스 성과에 기여합니다.
• 룩핀의 콘텐츠가 일관된 그래픽으로 고객에게 전달될 수 있게 그래픽 에셋을 제작하고 관리합니다.
• 상품 MD, 마케터, 개발 등 다양한 직군의 팀원과 긴밀하게 협업하여 콘텐츠를 제안하고 제작합니다.
• 상품 제작 업체와의 협업을 통해, 상품에 들어갈 그래픽을 제작하고 제품을 출시합니다.
• 콘텐츠 업무 효율화를 위한 템플릿 및 가이드를 구축합니다.","• 3년 이상의 콘텐츠 디자인 경력이 있는 분
• 그래픽, 모션, 타이포그래피 등을 능숙하게 다루고, 높은 완성도의 작업물을 제작할 수 있는 분
• 사소한 디자인 요소 하나에도 목적과 이유를 고민하고 이를 작업물에 반영할 수 있는 분
• 팀의 목표를 달성을 위해 더 나은 방향과 결과를 만들어가는 과정을 즐기는 분
• 빠른 실행력과 피드백을 바탕으로 성장을 지속적으로 추구하는 유연한 사고방식을 가진 분
• 디자이너라는 특정 역할에만 머무르지 않고 여러 분야의 동료와 함께 성장하기 위해 배우고 공유할 줄 아는 분","• 문제 상황에 직면했을 때, 근본 원인을 분석하고 주도적으로 해결책을 모색하며 문제를 해결한 경험이 있는 분
• 논리적이고 설득력 있는 커뮤니케이션으로 자신의 아이디어를 제안하고 설득한 경험이 있는 분
• 데이터 기반의 디자인 테스트를 수행하여 성과를 만들어낸 경험이 있는 분","타이포그래피
브랜딩
After Effect
3D
그래픽 디자인
Adobe Photoshop
Adobe Illustrator
Adobe Premiere
Figma"
경력,"• 온라인 마케팅 소재 기획 및 디자인
• 패션 브랜드 SNS 운영 및 관리
• 기타 브랜드 관련 디자인 업무","• 마케팅 콘텐츠 관련 경력 1년 이상 보유하신 분
• 기획 의도에 맞게 컨셉 도출 및 그래픽으로 표현 가능하신 분
• 디자인 아웃풋에 대해 논리적으로 표현, 설득 가능하신 분","• 업무를 주도적으로 운영할 수 있는 책임감 높으신 분
• 유연한 커뮤니케이션 능력 있으신 분
• 관련 학과 졸업하신 분
• 패션 및 뷰티 SNS 운영/관리 경력이 있으신 분",
