경력,주요 업무,자격 요건,우대사항,기술
신입,"사용기술
- React, React Native, Java, JavaScript, Python, Spring, Framework, AWS, Git, 리눅스, PHP 등

주요업무
- 주차 내비게이션 서비스 빅데이터 플랫폼 구축 업무
- Data Analyst
- 주차 내비게이션 서비스에서 수집된 Data 분석 및 의미있는 데이터를 통계적으로 파악하고 알고리즘 제안
- Data Scentis
- DATA분석 결과를 알고리즘으로 변화 및 비즈니스 조직 구현 및 알고리즘 설계
- Data Engineer
- DATA를 수집하는 파이프라인 제작 및 데이터 수집기 개발 업무
- 머신러닝에 필요한 전/후처리 업무
- 알고리즘 코드화 및 개발","- 개발 전공자(소프트웨어, 컴퓨터공학 등)
- Pyton, SAS, R, SQL 등 프로그램 가능자
- 컴퓨터 및 수학, 통계 관련 전공자
- 빅데이터 플랫폼 구축에 이해도가 높거나 관심이 많으신 분
- Java (Spring Boot) 소스코드 이해 및 개발 가능","• 자율주행 및 빅테이터 플랫폼 구축 유경험자
• OpenCV 유경험자
• 관련 학과 석/박사 및 자격증 소유자
• 근무지(경기/대구) 선택 가능
- 경기도 안양시 동안구 벌말로 80, 더에이치타워919 602호
- 대구광역시 동구 동대구로 465, 대구스케일업허브","Git
React
Java
JavaScript
Python
Spring Framework"
신입,"1. 인구 데이터 기반 옥외광고 캠페인 성과 측정 모델 개발
2. 캠페인 성과 데이터 시각화 및 대시보드 파이프라인 구현 (테블로 등)
3. 위치 데이터 및 마케팅 데이터 기반 캠페인 효과 측정 분석 모델 개발","• Python을 사용한 데이터 분석과 SQL 활용에 능숙하신 분
• 통계 지식을 바탕으로 한 데이터 분석 및 모델링 경험이 있으신 분
• 머신러닝/데이터 사이언스 분야에 대한 이해도가 있으신 분","[이런 경험이 있다면 더욱 환영하여 모시고 있어요]
• 데이터 엔지니어링(혹은 유관업무) 관련 프로젝트/업무 경험이 있으신 분
• 데이터 사이언스/통계학/컴퓨터공학 관련 전공 석사 이상신 분
• 유동인구 데이터 또는 위치 기반 데이터 분석 경험이 있으신 분
• 공간 데이터 분석 및 시계열 예측 모델 개발 경험이 있으신 분
• 데이터 시각화 경험이 있으신 분
• Hadoop, Spark 등 빅데이터 분석 플랫폼 활용 경험이 있으신 분
• TensorFlow, PyTorch 등 딥러닝 프레임워크 사용 경험이 있으신 분


[이런 성향을 가지고 있으시다면, 저희 팀과 잘 맞으실 거에요]
• 데이터로 비즈니스 가치를 창출하는 것에 열정이 있는 분
• 복잡한 문제를 단순화하여 해결책을 찾아내는 것을 즐기시는 분
• 동료들과의 협업을 통해 시너지를 만들어내는 것을 좋아하시는 분
• 새로운 기술과 방법론을 학습하고 적용하는 것에 거부감이 없으신 분","Git
Slack
Hadoop
Linux
MySQL
Scikit-Learn
Spark
Python
R
SQL
Docker
NumPy"
"신입, 경력","• 데이터 수집, 정제 및 분석을 통한 인사이트 도출
• 데이터 시각화 및 보고서 작성
• 데이터 모델링 및 통계적 분석을 활용한 의사결정 지원
• 향후 데이터 분석을 효율적으로 수행할 수 있는 데이터 분석 도구 및 자동화 시스템 개발
• 위 업무를 통해 AGI시스템을 개발","• 학력: 대졸 이상 (전공 무관)
• 경력: 신입/경력 무관
• 필수 역량 :
- Python, SQL 등을 활용한 데이터 분석 경험
- Pandas, NumPy, Scikit-learn 등의 라이브러리 활용 가능자
- 데이터 시각화 툴(Tableau, Power BI, Matplotlib 등) 사용 경험
- 기본적인 데이터베이스 및 SQL 쿼리 활용 능력","• AI/머신러닝 모델을 활용한 분석 경험
• 데이터 파이프라인 구축 경험 (ETL, 데이터 엔지니어링)
• API 연동 및 데이터 자동화 경험
• 장기적으로 데이터 분석 도구 개발 경험이 있거나, 개발에 대한 이해도가 높은 분",
"신입, 경력","• 데이터를 기반으로 전사 목표, 전략 방향성을 제시하고 실행하며 성과를 트래킹합니다.
- 전사 핵심 KPI 설정 및 모니터링, 데이터 분석 결과를 토대로 경영진 및 각 팀에 전략적 방향성 제시
- 실제 결과물(성과)을 추적하여, 개선을 위한 분석적 근거와 실행 전략 도출
• 데이터를 기반으로 인사이트 발굴하고 실험을 트래킹합니다.
- 자사 서비스, 프로덕트 전반의 데이터를 수집, 가공, 분석하여 서비스 개선 및 새로운 기회 발굴, 액션아이템 도출
- 가설 검증(A/B 테스트 등)을 설계하고, 실험 결과를 추적, 분석하여 빠르게 성장에 기여
• 팀원들의 커뮤니케이션 코스트를 감축하고 노동생산성을 향상시킵니다.
- 데이터 마트 설계 및 데이터 정의서 작성 등을 통해, 사내 데이터 구조와 용어를 표준화하여 커뮤니케이션 비용을 줄이고 효율성 제고
- 분석 자동화, 시각화 대시보드 구축 등으로 핵심 정보를 한눈에 파악할 수 있는 환경을 만들어, 의사결정 속도 및 정확도 향상
- SQL-Python 스킬을 활용한 효율적인 툴 및 프로세스를 마련하여 반복 업무 최소화, 팀 전체의 노동생산성 극대화","• SQL 능력 : 다양한 RDB 환경에서 고급 쿼리를 자유자재로 빠르게 작성할 수 있으신 분
• Python 능력 : 데이터 분석, 자동화, 시각화를 위한 라이브러리(예: pandas, numpy, matplotlib 등)를 능숙하게 활용하실 수 있으신 분
• 문제 해결 역량 : 주어진 문제에 대한 논리적 접근과 근거 기반의 의사결정이 가능하신 분
• 높은 열정과 빠른 학습 속도 : 새로운 기술, 방법론을 습득하고 바로 실행하는 데 거침이 없으신 분
• 시시각각 변하는 스타트업 환경에서 깊이 있게 몰입하며 본인의 역량을 폭발적으로 성장시키고자 하는 분","• 서비스/플랫폼 데이터를 다뤄본 인턴 / 프로젝트 경험이 있으신 분
• A/B 테스트 기획, 분석 경험이 있으신 분
• BI 도구 (Tableau, Looker, Redash 등) 사용 경험이 있으신 분
• 통계적 모델링 등 추가적인 데이터 분석 분야 역량이 있으신 분
• 스타트업 문화에 대한 이해와 높은 책임감, 오너십이 있으신 분",
신입,"ㆍSQL을 사용한 데이터 추출 및 전처리를 통한 지표관리
ㆍ데이터 시각화 및 대시보드 (Tableau/Redash 등) 운영 및 제작
ㆍ분석 요건 기획 및 데이터 수집 관리
ㆍ다양한 분야의 프로젝트 데이터 분석 업무
ㆍSQL, R, Python 등을 통한 데이터 분석 자동화 업무",,통계/컴퓨터/수학을 전공하신 분,
신입,"주니어 데이터 사이언티스트는 DQ Lab의 데이터 팀에서 데이터 수집, 정제, 분석 및 모델링을 수행하며, 데이터 기반 의사결정을 지원하는 다양한 프로젝트에 참여합니다.

주요 업무
• 대규모 데이터셋의 수집, 정제 및 전처리
• 데이터 분석 및 패턴 탐색을 통해 인사이트 도출
• 데이터 시각화를 통해 분석 결과를 직관적으로 전달
• 머신러닝 및 통계 모델을 활용한 예측 분석 및 성능 평가
• 데이터 품질 관리 및 데이터 파이프라인 최적화
• 비즈니스 및 기술팀과 협력하여 데이터 활용 방안 모색","• 컴퓨터 과학, 데이터 과학, 통계학, 수학 또는 관련 분야 학사 학위 이상
• Python 또는 R을 활용한 데이터 분석 및 프로그래밍 경험
• SQL을 이용한 데이터베이스 쿼리 및 데이터 조작 능력
• 데이터 전처리 및 클리닝 경험 (예: Pandas, NumPy, OpenRefine 등)
• 논리적 사고력과 문제 해결 능력
• 원활한 커뮤니케이션 및 협업 능력","• 영어 커뮤니케이션 능력 (글로벌 팀과 협업 가능)
• 머신러닝 및 딥러닝 모델 개발 경험 (TensorFlow, PyTorch 등)
• 데이터 시각화 도구 활용 경험 (Tableau, Power BI 등)
• 빅데이터 처리 기술 경험 (Hadoop, Spark 등)
• 클라우드 환경(AWS, GCP, Azure)에서 데이터 분석 경험
• 통계 모델링에 대한 이해","Python
SQL"
신입,헬스케어 관련 시스템 개발,"* 학력 : 대졸 이상(4년), 석/박사 학위 소지 또는 예정인 자 중 전문연구요원 자격요건 해당자
* 경력 : 무관 (신입도 지원 가능)
* 요구사항
- 헬스케어 데이터에 관심있는 자
- 기본 통계지식이 있는 사람","- 생물정보 혹은 관련분야 석사/박사 학위 소지자
- 국가과제 참여 및 운영 경험자
- 프로그래밍 언어를 이용해 개발이 가능한 자 (javascript, python, R 등)
- 클라우드 시스템에 기본적인 지식이 있는 자.
- 인공지능 기술에 관심있고 관련 개발에 열의가 있는 자
- 병역특례가능(학/석/박사 급 경력에 맞춘 연봉 수준)",
"신입, 경력","ㆍSQL을 사용한 데이터 추출 및 전처리를 통한 지표관리
ㆍ데이터 시각화 및 대시보드(Tableau 등) 제작 및 운영
ㆍ분석 요건 기획 및 데이터 수집 관리
ㆍ데이터에 기반한 가설 수립 및 검증
ㆍ각종 지표 정의 및 트래킹 자동화","ㆍ석사이상의 학위수료자 必
ㆍ데이터 추출, 분석을 위한 언어(SQL, Python)를 능숙하게 다루는 분
ㆍ데이터 시각화 툴(Tableau)에 대한 기본 지식을 보유한 분
ㆍFunnel, AARRR, Cohort Analysis 등 데이터 분석 방법에 대한 지식과 경험이 있으신 분
ㆍ데이터에 기반한 가설을 세워 A/B Test를 설계하고 진행해보신 분
ㆍ마케팅 지표(first open, retention, conversion rate)에 대한 이해도가 높으신 분","ㆍAWS(DynamoDB, EC2, RDS), GCP(BigQuery), Google Analytics 사용 경험이 있으신 분",
"신입, 경력","• 회사보유 DB 기반의 데이터 모델링과 이를 통한 문제 정의 및 해결
• 상품추천/개인화 모델, 상품/인물 랭킹 모델 개발
• 상품 메타데이터, 사용자 리뷰데이터 등 텍스트 마이닝 및 모델 개발

- 교보문고가 보유한 고객, 상품, 매출 등의 데이터를 기반으로 추천/개인화 모델 신규 개발
- 정형/비정형 텍스트를 활용한 분류, 토픽추출 및 감성분석 등 모델 개발
- 도서 인접상품 관련 분석 모델 연구","• 프로덕션 레벨의 ML모델 개발 프로세스에 대한 이해 및 프로젝트 경험이 있는 분
• 데이터 모델링을 통해 비즈니스 문제를 해결해 보신 분
• 데이터 분석가, 데이터 엔지니어 및 타 부서와의 커뮤니케이션이 원활한 분
• Python, SQL을 능숙하게 활용 가능한 분
• Tensorflow, Keras, PyTorch 등 딥러닝 프레임워크을 능숙하게 활용 가능한 분","• 데이터 분석 솔루션이나 플랫폼 구축 프로젝트 경험이 있는 분
• GNN(Graph Neural Network)에 관한 경험이 있는 분
• 데이터 가공/분석/모델링 전체 프로세스 경험이 있는 분
• 자연어 처리 프로젝트 경험이 있는 분
• 프로젝트 포트폴리오, Git, Blog 첨부 가능한 분",
"신입, 경력","• 데이터 파이프라인 설계
• 부동산 시세 알고리즘 연구개발
• 매출 예측 알고리즘 연구개발
• 부동산 사업자 선정 및 사업성 분석 서비스 연구개발","• 공간 빅데이터, 인공지능 기술 전반에 대해 많은 관심이 있는 분
• 해외 출장에 결격사유가 없는 분","• 공간 데이터 활용 프로젝트 경험자
• 통계학, 컴퓨터공학, 데이터사이언스, 산업공학, 부동산학, 도시공학, 건축학 석사 이상 전공자
• 데이터사이언스, 데이터마이닝 프로젝트 경험자
• 적극적인 커뮤니케이션 능력을 갖추신 분
• 다양한 분석 결과를 이해하기 쉽게 설명하실 수 있는 분","Python
SQL"
