경력,주요 업무,자격 요건,우대사항,기술
신입,제품 파트에서 비주얼 컨셉을 기획 및 제품 디자인,"동시대적인 감각으로 폭넓은 컨셉을 기획, 이를 감각적인 비주얼로 구현할 수 있는 역량","• 패션 디자인, 제품 디자인 관련 학과 전공자
• 2년 이상 패션 업계 및 뷰티 업계 경력자
• Photoshop, Illustrator, Rhino를 활용한 제품 디자인 구현 능력
• 패션 프로덕트 생산까지의 유경험자",
신입,"• 문제를 정의하고 문제 해결을 위한 분석과 UX 설계 및 UI 디자인을 담당하며 사용자에게 배포되기까지의 과정에 모두 참여해요.
• 다양한 챕터(PM, 엔지니어, QA, 데이터, 프로덕트디자이너, 컨텐츠매니저 등)로 구성되며 한두 가지 프로덕트에 오너십을 갖고 집중할 수 있어요.
• PM, 데이터 분석 팀과 함께 고객 활동 지표 등 다양한 데이터 분석, UX 리서치, 시장 조사 등을 통해 문제를 발견하고 정의해요.
• 동료와 함께 상하좌우 적극적인 소통 및 의사결정을 이끌어요.
• 리서치 결과 보고서, 상세 정책, UX Flow, Flow Chart, UX writing, Prototype, UI 등을 설계해요.
• 프리토타이핑, 디자인씽킹, 애자일, 린스타트업 기반으로 문제를 해결해요.","• 강한 실행력과 스스로 목표 설정하는 주도성을 바탕으로 복잡한 문제를 정의하고, 이를 논리적으로 해결할 수 있는 분
• 복잡하고 어려운 정보를 사용자가 쉽게 이해할 수 있도록 구조화할 수 있는 분
• '왜?'라는 질문을 통해 문제의 본질과 목적을 파악하고, 이를 기반으로 서비스를 기획하며 지속적으로 발전시켜 나갈 수 있는 분
• 정성적인 사용자 조사 결과와 정량적인 데이터를 기반으로 문제를 찾고 서비스를 개선할 수 있는 분
• 서비스에 대한 오너십과 높은 자율성 및 책임감을 가지고 업무에 임하며, 항상 배우려고 노력하는 분
• 복잡한 제품을 분석하여 디자인 방향성을 제안하고 모든 요소에 대하여 명확한 이유가 있는 UX 설계 및 UI 디자인을 할 수 있는 분
• 고객이 쉽게 이해할 수 있는 명확하고 간결한 UX 라이팅 및 글쓰기 능력을 지니고 계신 분
• PM, 개발자 등 다양한 직군과 협업할 때 배려심을 바탕으로 한 논리적인 커뮤니케이션을 할 수 있고, 효과적으로 피드백을 주고 받을 수 있는 분
• 디지털 제품과 디자인 관련 연구를 습관적으로 즐기며, 이를 통해 새로운 인사이트를 얻고 적용하는 데 흥미가 있는 분","• 복잡한 정책들을 이해하고 정의하여 서비스를 직접 설계한 경험이 있으신 분
• 리서치 결과 보고서, 상세 정책, UX Flow, Flow Chart, Prototype, UX/UI 설계 경험이 있으신 분
• 디자인 툴 Figma를 능숙하게 사용할 수 있고, 디자인 시스템에 대한 이해도가 높은 분
• 비주얼 디자인에 대한 깊은 이해와 경험을 기반으로 단순하고 위계 질서가 확실한 UX/UI 디자인이 가능하신 분
• PC, Mobile 등 디바이스에 따른 범용적인 디자인 패턴을 숙지하고 서비스에 적절히 적용할 수 있는 분
• Google, Apple, MS 등 대중적 디자인 시스템의 기본 컴포넌트를 충분히 이해하고 활용할 수 있는 분
• 디지털 환경에서 화면이 그려지는 원리에 대해 이해하고 있으신 분 (WEB, HTML, CSS, React 등)
• PM, 데이터 분석 팀과 함께 데이터 분석, UX 리서치, 시장 조사 등을 통해 문제를 발견하고 서비스를 개선한 경험이 있으신 분
• 데이터 CRUD를 이해하고 사용자 경험으로 원활하게 풀어낼 수 있는 분
• 디자인팀의 성장을 이끌고 동료들이 성장할 수 있는 팀 환경을 만들어 낼 수 있는 분
• 브랜드의 톤 앤 매너를 일관되게 유지하며, 사용자가 쉽게 이해할 수 있도록 명확하고 간결한 문장을 작성할 수 있는 분
• 다양한 문화적 배경을 이해하고 이를 반영하여 글로벌 사용자들에게 적합한 언어와 표현을 사용할 수 있는 분",
신입,"• 탄소배출량 관리를 돕는 앱·웹서비스의 프로토타이핑 및 UI/UX 설계를 진행합니다
• 데이터에 기반하여 사용자에게 최고의 경험을 전달할 수 있는 기획과 시각화 디자인을 진행합니다
• 온·오프라인 서비스와 각종 소셜미디어에 사용될 홍보물과 마케팅 관련 크리에이티브 에셋을 제작합니다
• 환경을 주제로 하는 다양한 프로젝트의 브랜딩과 그래픽 디자인을 진행합니다
• 오두랩이 진행하는 서비스와 제품 방향성에 관해 고민하여 더 나은 방향 설정과 팀의 발전에 기여합니다","• 다양한 디자인 툴(Adobe illustrator, Photoshop, Figma, Framer 등)을 능숙하게 다룰 줄 아는 분
• 웹과 앱의 개발 환경에 대한 이해를 기반으로 하는 디자인 설계가 가능하신 분
• 사업, 기획, 개발 등 다양한 직군과 유연한 커뮤니케이션이 가능하신 분
• 본인의 디자인을 논리적으로 표현하실 수 있는 분
• 틀에 박히지 않은 기획력, 창의력, 추진력을 가지고 적극적으로 새로운 생각을 들려주실 수 있는 분","• B2B SaaS 및 ESG 환경 분야에 대한 관심이 높으신 분
• 새로운 UX/UI 디자인과 기술 트렌드 및 프로그래밍 분야에 관심있고 배우는 것을 좋아하시는 분
• 애니메이션/일러스트레이션이 가능하신 분",
신입,"[포지션 소개]

＜복잡하고 무거운 B2B 소프트웨어를 쉽고 세련되게＞
B2C 소프트웨어의 깔끔해진 경험에 비해, 기업용 소프트웨어의 사용성은 여전히 끔찍합니다.

＜노션 세대를 위한 CRM＞
은행 이용 경험은 토스가, 배달 경험은 배민이 깔끔하게 만들었습니다.

반면, 기업용 고객관리 소프트웨어의 사용성은 어떨까요?
아직도 끔찍합니다.


세일즈맵의 프로덕트 디자이너 분은 소프트웨어의 사용성을 세련되게 개선하는 중요한 역할을 맡게 됩니다.
한 끗차이의 디테일에 집착하시는 분, 마법같은 고객 경험을 설계해보고 싶으신 분을 찾고있습니다.




**이런 일들을 경험하고 성장할 수 있어요**

세일즈맵 B2B 프로덕트 디자이너는 높은 수준을 추구하는 동료들과 함께 다양한 기업의 마케팅/세일즈 팀에게 더 나은 경험을 제공할 수 있는 CRM 프로덕트를 설계합니다.
고객과 문제 발견, 디자인, 개발 협업에 이르기까지 다양한 영역을 경험하며 세려된 고객 경험을 전달하는 디자이너로 나아갈 수 있습니다.



**앞으로 이런 일들을 하게 될거에요**

IT 프로덕트와 B2B 비즈니스 프로세스를 매끄럽게 연결할 수 있는 UX를 디자인합니다.
마케팅 팀, 세일즈 팀 등 고객에 대한 정성적, 정량적 리서치를 통한 인사이트를 도출합니다.
제품의 성장을 위해 필요한 문제를 정의하고, 방향성을 제시하며 개선안을 찾아 실행합니다.","- WEB/APP UI/UX에 대해 지식과 관심이 많으신 분
- 복잡한 정보, 기술, 정책을 이해하고 알맞은 솔루션(UX)을 설계한 경험이 필요합니다.
- Figma를 이용해 위계 있는 Web Product를 구성하실 수 있는 분이 필요합니다.
- 본인의 디자인을 논리적으로 표현하고 설득할 수 있는 분
- 밝은 성격과 긍정적인 마인드
- Photoshop, Illustrator 등에 능숙하신 분",- B2B 비즈니스의 백오피스를 디자인 해본 경험이 있으신 분,"Adobe Photoshop, Adobe Illustrator, UI 디자인, Figma"
신입,"• 프로토타이핑 툴에 능숙한 분 (피그마, 포토샵, 일러스트, 제플린, lottie 등)
• 플랫폼 앱(모바일APP), 웹 등 플랫폼 UI/UX 디자인 경험이 있으신 분
• UI/UX 분석 및 개선 & 디자인 가이드 라인 제작
• 신규 서비스 세부 설계(와이어프레임) 및 디자인 작업","• 완벽한 UI를 그리는 디자이너보다 비즈니스 문제를 해결할 수 있는 디자이너가 필요합니다.
- 매출/리텐션을 높인 경험이 있으신 분
- 비즈니스 지표를 개선한 사례가 있으신 분
- 제품의 수익모델을 바탕으로, 매출에 직접적인 영향을 주는 기능부터 우선 순위를 정해 업데이트를 진행해보신 분
• 일단 만들어보고, 빠르게 테스트하고, 재빠르게 개선하는 능력이 필요합니다.
- “사용자 피드백부터 들어보는 게 어떨까요?”
- “이렇게 하면 2주 안에 만들 수 있어요”
• 폭넓은 역량을 가진 제너럴리스트가 필요합니다.
- UI/UX 디자인
- 리서치와 유저 테스트
- 브랜딩과 마케팅 디자인",,"Zeplin, Adobe Photoshop, Adobe Illustrator, UI 디자인, Figma"
신입,"* 일본 미리캔버스 사이트의 웹 디자인 담당

• 일본 미리캔버스 웹사이트에 들어갈 이미지 콘텐츠 디자인(배너, 상세페이지, 썸네일 등)
• 상세페이지 내 보조 이미지 제작 및 관리","• 1년 근무 가능하신 분
• 웹 디자인 경력 0~3년
• Figma, Adobe(Photoshop, Illustrator) 디자인 편집툴 활용 역량이 높으신 분
• HTML, CSS, JavaScript, PHP에 대한 기본 지식 보유하신 분","• 일본어 가능자 또는 일본 문화 이해도 높은 분
• 일본 서비스 디자인 경험이 있는 분
• 웹 인터랙션(영상, 모션)에 대한 관심이 있는 분
• 시각디자인 또는 그래픽디자인 유관 전공 졸업자","인터랙션 디자인, 웹 디자인, 그래픽 디자인, Adobe Photoshop, Adobe Illustrator, UI 디자인, Adobe XD, Figma"
신입,"* 고객의 문제를 빠르게 정의하고 적절한 UI를 통한 사용자 경험을 디자인합니다.
* 고객과의 미팅에 참여해서 고객의 고민을 직접 듣고 방향을 제시합니다.
* 개발, 비지니스에서 일하는 동료들과 제품의 방향성 및 전략에 대한 의사 결정에 기여합니다.","* B2B Saas 제품의 End-to-end UX 설계에 관심이 있으신 분
* 기술적인 모호한 문제를 논리적으로 정의하고 명확한 목표로 구체화하는 것을 좋아하는 분
* 끊임없이 가설을 세우고, 협업을 통해 검증하는 분
* 고객을 직접 만나서 그들의 고민을 듣는 것을 즐기는 분
* Partner/Freelancer 를 위한 제품 개발에 관심 있으신 분","* 전세계에서 사용되는 B2B SaaS의 제품 디자인 경험을 해보신 분
* 시각적 및 인터랙션 디자인을 중시하고 디테일을 놓치지 않는 분
* 해외 경험이 있거나 영어 활용이 가능하신 분","웹 디자인, 제품 디자인, UI 디자인, Figma"
"신입, 경력","• 탄소배출량 관리를 돕는 앱·웹서비스의 프로토타이핑 및 UI/UX 설계를 진행합니다
• 데이터에 기반하여 사용자에게 최고의 경험을 전달할 수 있는 기획과 시각화 디자인을 진행합니다
• 온·오프라인 서비스와 각종 소셜미디어에 사용될 홍보물과 마케팅 관련 크리에이티브 에셋을 제작합니다
• 환경을 주제로 하는 다양한 프로젝트의 브랜딩과 그래픽 디자인을 진행합니다
• 오두랩이 진행하는 서비스와 제품 방향성에 관해 고민하여 더 나은 방향 설정과 팀의 발전에 기여합니다","• 다양한 디자인 툴(Adobe illustrator, Photoshop, Figma, Framer 등)을 능숙하게 다룰 줄 아는 분
• 웹과 앱의 개발 환경에 대한 이해를 기반으로 하는 디자인 설계가 가능하신 분
• 사업, 기획, 개발 등 다양한 직군과 유연한 커뮤니케이션이 가능하신 분
• 본인의 디자인을 논리적으로 표현하실 수 있는 분
• 틀에 박히지 않은 기획력, 창의력, 추진력을 가지고 적극적으로 새로운 생각을 들려주실 수 있는 분","• B2B SaaS 및 ESG 환경 분야에 대한 관심이 높으신 분
• 새로운 UX/UI 디자인과 기술 트렌드 및 프로그래밍 분야에 관심있고 배우는 것을 좋아하시는 분
• 애니메이션/일러스트레이션이 가능하신 분",
신입,"ㆍ웹사이트 및 어플리케이션 UIUX 디자인
(에이전시)
- UI/UX 설계
- GUI 디자인",ㆍUIUX 설계 및 GUI 디자인,"ㆍ시각디자인학과
ㆍ해당직무 인턴경력, 해당직무 근무경험
ㆍ에이전시 근무경험 우대","인터랙션 디자인, 서비스 디자인, 웹 디자인, Zeplin, Adobe Photoshop, Adobe Illustrator, UI 디자인, Figma"
"신입, 경력","• 팀스파르타의 다양한 프로덕트 내 상세 페이지, 이벤트 페이지 등을 디자인합니다.
• 프로덕트 내 인터랙션을 위한 영상 및 프로토타이핑을 제작합니다.
• 개발자와 협업하여 웹페이지 구현까지 함께 합니다.","• 웹 디자인 경력 0~3년 또는 그에 준하는 유관 경험이 있으신 분
• Figma, Photoshop, Illustrator 등 이미지 제작 툴 사용이 능숙하신 분
• 퍼블리싱(HTML/CSS)에 대한 경험이 있거나 배우고자 하는 열정이 있는 분
• 고객에 대한 이해를 바탕으로 메시지를 완성도 높은 디자인으로 표현할 수 있는 분","• 강한 실행력과 자기주도성을 바탕으로 문제 해결 능력이 뛰어난 분
• 피드백을 바탕으로 지속적으로 성장할 수 있는 겸손함을 갖춘 분
• 웹 인터랙션(영상, 모션)에 대한 관심이 있는 분","웹 디자인, Adobe Photoshop, Adobe Illustrator, Figma"
